2024-11-19 15:23:04,099 [DEBUG]  Getting transaction 8
2024-11-19 15:23:04,099 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:23:04,099 [INFO]  COIL Zawor 2 otwarty status: False
2024-11-19 15:23:04,102 [WARNING]  Rekord o nazwie - Zawor 2 otwarty już istnieje w tabeli coils
2024-11-19 15:23:04,106 [INFO]  Dodano rekord w tabeli odczyty_coili: id_coila = 2, status_coila = False
2024-11-19 15:23:04,106 [INFO]  Odczyt COILS Alarm przegrzania silnika: Offset = 2, Typ = Output
2024-11-19 15:23:04,106 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:23:04,107 [DEBUG]  Running transaction 9
2024-11-19 15:23:04,107 [DEBUG]  SEND: 0x0 0x9 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x2 0x0 0x1
2024-11-19 15:23:04,107 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:23:04,108 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:23:04,109 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:23:04,109 [DEBUG]  RECV: 0x0 0x9 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x1
2024-11-19 15:23:04,109 [DEBUG]  Processing: 0x0 0x9 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x1
2024-11-19 15:23:04,110 [DEBUG]  decode PDU for 1
2024-11-19 15:23:04,110 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:23:04,110 [DEBUG]  Adding transaction 9
2024-11-19 15:23:04,111 [DEBUG]  Getting transaction 9
2024-11-19 15:23:04,111 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:23:04,111 [INFO]  COIL Alarm przegrzania silnika status: True
2024-11-19 15:23:04,115 [WARNING]  Rekord o nazwie - Alarm przegrzania silnika już istnieje w tabeli coils
2024-11-19 15:23:04,119 [INFO]  Dodano rekord w tabeli odczyty_coili: id_coila = 3, status_coila = True
2024-11-19 15:23:04,119 [INFO]  Odczyt COILS Czujnik poziomu 1: Offset = 3, Typ = Output
2024-11-19 15:23:04,120 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:23:04,120 [DEBUG]  Running transaction 10
2024-11-19 15:23:04,120 [DEBUG]  SEND: 0x0 0xa 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x3 0x0 0x1
2024-11-19 15:23:04,121 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:23:04,121 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:23:04,122 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:23:04,122 [DEBUG]  RECV: 0x0 0xa 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:23:04,123 [DEBUG]  Processing: 0x0 0xa 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:23:04,123 [DEBUG]  decode PDU for 1
2024-11-19 15:23:04,124 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:23:04,124 [DEBUG]  Adding transaction 10
2024-11-19 15:23:04,124 [DEBUG]  Getting transaction 10
2024-11-19 15:23:04,125 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:23:04,125 [INFO]  COIL Czujnik poziomu 1 status: False
2024-11-19 15:23:04,128 [WARNING]  Rekord o nazwie - Czujnik poziomu 1 już istnieje w tabeli coils
2024-11-19 15:23:04,136 [INFO]  Dodano rekord w tabeli odczyty_coili: id_coila = 4, status_coila = False
2024-11-19 15:23:04,136 [INFO]  Odczyt COILS Lampka sygnalizacyjna: Offset = 4, Typ = Output
2024-11-19 15:23:04,137 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:23:04,137 [DEBUG]  Running transaction 11
2024-11-19 15:23:04,138 [DEBUG]  SEND: 0x0 0xb 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x4 0x0 0x1
2024-11-19 15:23:04,138 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:23:04,138 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:23:04,139 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:23:04,140 [DEBUG]  RECV: 0x0 0xb 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:23:04,140 [DEBUG]  Processing: 0x0 0xb 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:23:04,140 [DEBUG]  decode PDU for 1
2024-11-19 15:23:04,141 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:23:04,141 [DEBUG]  Adding transaction 11
2024-11-19 15:23:04,141 [DEBUG]  Getting transaction 11
2024-11-19 15:23:04,141 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:23:04,142 [INFO]  COIL Lampka sygnalizacyjna status: False
2024-11-19 15:23:04,145 [WARNING]  Rekord o nazwie - Lampka sygnalizacyjna już istnieje w tabeli coils
2024-11-19 15:23:04,151 [INFO]  Dodano rekord w tabeli odczyty_coili: id_coila = 5, status_coila = False
2024-11-19 15:23:04,151 [INFO]  Odczyt COILS Syrena alarmowa: Offset = 5, Typ = Output
2024-11-19 15:23:04,152 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:23:04,153 [DEBUG]  Running transaction 12
2024-11-19 15:23:04,153 [DEBUG]  SEND: 0x0 0xc 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x5 0x0 0x1
2024-11-19 15:23:04,153 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:23:04,154 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:23:04,155 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:23:04,155 [DEBUG]  RECV: 0x0 0xc 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:23:04,155 [DEBUG]  Processing: 0x0 0xc 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:23:04,156 [DEBUG]  decode PDU for 1
2024-11-19 15:23:04,156 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:23:04,156 [DEBUG]  Adding transaction 12
2024-11-19 15:23:04,157 [DEBUG]  Getting transaction 12
2024-11-19 15:23:04,157 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:23:04,157 [INFO]  COIL Syrena alarmowa status: False
2024-11-19 15:23:04,160 [WARNING]  Rekord o nazwie - Syrena alarmowa już istnieje w tabeli coils
2024-11-19 15:23:04,171 [INFO]  Dodano rekord w tabeli odczyty_coili: id_coila = 6, status_coila = False
2024-11-19 15:23:04,171 [INFO]  Oczekwianie na kolejny odczyt...
